year,kes_per_usd,fx_lag,fx_depreciation_pct,inflation,reserves_usd,log_reserves,inflation_lag,reserves_lag,reserves_pct_change,fx_dep_z,reserves_change_z,inflation_z,fx_pressure
1977,8.27656083241667,8.36714499916667,-1.082617389312866,14.8209644818935,525784882.946834,20.080402719270168,11.4490304932756,275522172.368629,90.83214916125569,-0.5482910788465092,1.1078870432562835,0.5342232793852442,-1.1219548427175485
1978,7.72938333233334,8.27656083241667,-6.611169919034602,16.9317824582842,368830301.98426,19.725847210003185,14.8209644818935,525784882.946834,-29.851482241729805,-0.9888123875710088,-0.7412135313174462,0.8012154005984607,0.5536165443448982
1979,7.47530916566667,7.72938333233334,-3.2871207927265553,7.97935261848786,668545448.786228,20.320614938412557,16.9317824582842,368830301.98426,81.26098782815258,-0.7239483994812632,0.9612388216653892,-0.3311552062819987,-2.0163424274286514
1980,7.420187499,7.47530916566667,-0.737383102759659,13.8581814562484,538712188.84167,20.10469201379477,7.97935261848786,668545448.786228,-19.420259337682367,-0.5207824210357381,-0.5813875462924082,0.4124432466395479,0.47304837189621796
1981,9.04749833258333,7.420187499,21.930858671733557,11.6030534351142,262828031.489196,19.38701050360942,13.8581814562484,538712188.84167,-51.21179046378652,1.285448681825056,-1.0684936914129597,0.1271977064250763,2.481140079663092
1982,10.9223249994167,9.04749833258333,20.72204490031722,20.6667146662827,248102847.327518,19.329353925127887,11.6030534351142,262828031.489196,-5.602592721272701,1.1891290354572703,-0.369674864277113,1.273637695630359,2.8324415953647426
1983,13.3115166659167,10.9223249994167,21.87438724472668,11.3977827368523,406428158.505212,19.82291773948873,20.6667146662827,248102847.327518,63.814387010516825,1.2809489747503975,0.6939240315715711,0.1012335258254893,0.6882584690043156
1984,14.4138749994167,13.3115166659167,8.281237676864567,10.284098213138,414388461.981152,19.842314405812356,11.3977827368523,406428158.505212,1.9586003846822309,0.19783146702475837,-0.25382314226522207,-0.0396336624752487,0.4120209468147318
1985,16.4321166665,14.4138749994167,14.00207554987798,13.0065664218827,416724735.061511,19.847936454029856,10.284098213138,414388461.981152,0.5637881588665576,0.6536742890422956,-0.2751942930848884,0.30472457689846816,1.2335931590256521
1986,16.2257416665,16.4321166665,-1.2559246272924536,2.53427598892888,444494690.152961,19.912448667184254,13.0065664218827,416724735.061511,6.663860518706918,-0.5621003952771227,-0.18172969333434508,-1.019889420105737,-1.4002601220485147
1987,16.4544916666667,16.2257416665,1.409796882437639,8.63767318980084,294401562.808027,19.500455253256085,2.53427598892888,444494690.152961,-33.76713618182558,-0.34969269509733353,-0.8012087259125259,-0.24788587290551636,0.203630157909676
1988,17.7471,16.4544916666667,7.855656434235812,12.2649630481582,296453946.226837,19.50740243963923,8.63767318980084,294401562.808027,0.6971374062128419,0.16392067302153057,-0.2731511314148221,0.2109210087726428,0.6479928132089955
1989,20.5724666666667,17.7471,15.92015972562672,13.7893172763883,316624628.702657,19.573227493613203,12.2649630481582,296453946.226837,6.803985149310865,0.8065094021758081,-0.17958272002943607,0.4037327876316636,1.3898249098369078
1990,22.9147666666667,20.5724666666667,11.385606004141447,17.78181442992,236115155.443087,19.2798301907753,13.7893172763883,316624628.702657,-25.427419714458356,0.44519104097163525,-0.6734285594366168,0.9087338326681749,2.027353433076427
